"from","to","weight","language"
"7","74",1,"EUS"
"8","74",1,"EUS"
"9","74",5,"EUS"
"11","74",1,"EUS"
"13","74",1,"EUS"
"15","74",1,"EUS"
"16","74",2,"EUS"
"17","74",1,"EUS"
"18","74",1,"EUS"
"19","74",1,"EUS"
"20","74",1,"EUS"
"32","74",1,"EUS"
"37","74",1,"EUS"
"42","74",1,"EUS"
"43","74",1,"EUS"
"47","74",1,"EUS"
"48","74",1,"EUS"
"57","74",1,"EUS"
"68","74",2,"EUS"
"1","75",7,"EUS"
"3","75",20,"EUS"
"4","75",5,"EUS"
"5","75",5,"EUS"
"8","75",2,"EUS"
"9","75",1,"EUS"
"10","75",3,"EUS"
"13","75",2,"EUS"
"14","75",3,"EUS"
"15","75",1,"EUS"
"19","75",1,"EUS"
"22","75",4,"EUS"
"25","75",1,"EUS"
"29","75",1,"EUS"
"32","75",2,"EUS"
"42","75",4,"EUS"
"47","75",1,"EUS"
"50","75",1,"EUS"
"60","75",6,"EUS"
"69","75",1,"EUS"
"71","75",1,"EUS"
"1","76",3,"EUS"
"2","76",2,"EUS"
"4","76",1,"EUS"
"10","76",1,"EUS"
"14","76",1,"EUS"
"17","76",1,"EUS"
"18","76",1,"EUS"
"22","76",1,"EUS"
"28","76",1,"EUS"
"29","76",1,"EUS"
"34","76",1,"EUS"
"39","76",1,"EUS"
"40","76",2,"EUS"
"45","76",1,"EUS"
"46","76",1,"EUS"
"56","76",1,"EUS"
"58","76",1,"EUS"
"68","76",2,"EUS"
"73","76",1,"EUS"
"2","77",17,"EUS"
"3","77",4,"EUS"
"4","77",3,"EUS"
"5","77",1,"EUS"
"8","77",1,"EUS"
"9","77",1,"EUS"
"10","77",9,"EUS"
"11","77",5,"EUS"
"12","77",5,"EUS"
"17","77",1,"EUS"
"21","77",1,"EUS"
"29","77",1,"EUS"
"35","77",1,"EUS"
"48","77",1,"EUS"
"52","77",1,"EUS"
"57","77",1,"EUS"
"61","77",1,"EUS"
"66","77",2,"EUS"
"71","77",2,"EUS"
"72","77",2,"EUS"
"1","78",9,"EUS"
"2","78",1,"EUS"
"3","78",1,"EUS"
"4","78",2,"EUS"
"7","78",1,"EUS"
"13","78",2,"EUS"
"14","78",1,"EUS"
"18","78",9,"EUS"
"19","78",1,"EUS"
"20","78",1,"EUS"
"21","78",1,"EUS"
"34","78",2,"EUS"
"35","78",2,"EUS"
"51","78",1,"EUS"
"55","78",2,"EUS"
"57","78",1,"EUS"
"58","78",1,"EUS"
"64","78",1,"EUS"
"67","78",1,"EUS"
"1","79",4,"EUS"
"4","79",2,"EUS"
"5","79",1,"EUS"
"6","79",1,"EUS"
"8","79",2,"EUS"
"10","79",1,"EUS"
"12","79",1,"EUS"
"14","79",1,"EUS"
"17","79",1,"EUS"
"28","79",1,"EUS"
"34","79",1,"EUS"
"47","79",1,"EUS"
"53","79",1,"EUS"
"56","79",1,"EUS"
"1","80",11,"EUS"
"2","80",1,"EUS"
"6","80",1,"EUS"
"7","80",1,"EUS"
"8","80",3,"EUS"
"9","80",6,"EUS"
"10","80",1,"EUS"
"12","80",1,"EUS"
"15","80",1,"EUS"
"16","80",2,"EUS"
"18","80",1,"EUS"
"21","80",1,"EUS"
"24","80",1,"EUS"
"37","80",1,"EUS"
"41","80",1,"EUS"
"49","80",1,"EUS"
"57","80",5,"EUS"
"61","80",1,"EUS"
"67","80",1,"EUS"
"1","81",3,"EUS"
"2","81",1,"EUS"
"3","81",1,"EUS"
"4","81",16,"EUS"
"6","81",11,"EUS"
"7","81",1,"EUS"
"8","81",1,"EUS"
"9","81",2,"EUS"
"10","81",1,"EUS"
"12","81",9,"EUS"
"13","81",2,"EUS"
"14","81",3,"EUS"
"15","81",1,"EUS"
"17","81",1,"EUS"
"19","81",2,"EUS"
"21","81",2,"EUS"
"29","81",1,"EUS"
"30","81",2,"EUS"
